team_id,Team,Team Name,Conference,Seed,Wins,Losses,Win%,Record,Streak,Home Record,Away Record,Last 10,Pts/Game,Opp Pts/Game,Point Diff
5,CLE,Cleveland Cavaliers,Eastern Conference,1,64,18,.780,64-18,L1,34-7,30-11,6-4,121.9,112.4,+9.5
2,BOS,Boston Celtics,Eastern Conference,2,61,21,.744,61-21,W2,28-13,33-8,8-2,116.3,107.2,+9.1
14,MIA,Miami Heat,Eastern Conference,8,37,45,.451,37-45,L1,19-22,17-23,6-4,110.6,110.0,+0.6
19,ORL,Orlando Magic,Eastern Conference,7,41,41,.500,41-41,L1,22-19,19-22,7-3,105.4,105.5,-0.1
8,DET,Detroit Pistons,Eastern Conference,6,44,38,.537,44-38,L2,22-19,22-19,4-6,115.5,113.6,+1.9
15,MIL,Milwaukee Bucks,Eastern Conference,5,48,34,.585,48-34,W8,27-14,20-20,8-2,115.5,113.0,+2.5
11,IND,Indiana Pacers,Eastern Conference,4,50,32,.610,50-32,W1,29-11,20-20,8-2,117.4,115.1,+2.3
18,NY,New York Knicks,Eastern Conference,3,51,31,.622,51-31,W1,27-14,24-17,6-4,115.8,111.7,+4.1
4,CHI,Chicago Bulls,Eastern Conference,10,39,43,.476,39-43,W3,18-23,21-20,7-3,117.8,119.4,-1.6
1,ATL,Atlanta Hawks,Eastern Conference,9,40,42,.488,40-42,W3,21-19,19-22,5-5,118.2,119.3,-1.1
27,WSH,Washington Wizards,Eastern Conference,15,18,64,.220,18-64,W1,8-32,10-31,2-8,108.0,120.4,-12.4
30,CHA,Charlotte Hornets,Eastern Conference,14,19,63,.232,19-63,L7,12-29,7-34,1-9,105.1,114.2,-9.1
20,PHI,Philadelphia 76ers,Eastern Conference,13,24,58,.293,24-58,L2,12-29,12-29,1-9,109.6,115.8,-6.2
17,BKN,Brooklyn Nets,Eastern Conference,12,26,56,.317,26-56,L3,12-29,14-27,3-7,105.1,112.2,-7.1
28,TOR,Toronto Raptors,Eastern Conference,11,30,52,.366,30-52,L2,18-23,12-29,5-5,110.9,115.2,-4.3
25,OKC,Oklahoma City Thunder,Western Conference,1,68,14,.829,68-14,W4,35-6,32-8,8-2,120.5,107.6,+12.9
13,LAL,Los Angeles Lakers,Western Conference,3,50,32,.610,50-32,L1,31-10,19-22,6-4,113.4,112.2,+1.2
10,HOU,Houston Rockets,Western Conference,2,52,30,.634,52-30,L3,29-12,23-17,6-4,114.3,109.8,+4.5
9,GS,Golden State Warriors,Western Conference,7,48,34,.585,48-34,L1,24-17,24-17,7-3,113.8,110.5,+3.3
29,MEM,Memphis Grizzlies,Western Conference,8,48,34,.585,48-34,W1,26-15,22-19,4-6,121.7,116.9,+4.8
16,MIN,Minnesota Timberwolves,Western Conference,6,49,33,.598,49-33,W3,25-16,24-17,8-2,114.3,109.3,+5.0
7,DEN,Denver Nuggets,Western Conference,4,50,32,.610,50-32,W3,26-15,24-17,5-5,120.8,116.9,+3.9
12,LAC,LA Clippers,Western Conference,5,50,32,.610,50-32,W8,30-11,20-21,9-1,112.9,108.2,+4.7
6,DAL,Dallas Mavericks,Western Conference,10,39,43,.476,39-43,L1,22-18,17-25,4-6,114.2,115.4,-1.2
23,SAC,Sacramento Kings,Western Conference,9,40,42,.488,40-42,W1,20-21,20-21,5-5,115.7,115.3,+0.4
26,UTAH,Utah Jazz,Western Conference,15,17,65,.207,17-65,L2,10-31,7-34,1-9,111.9,121.2,-9.3
3,NO,New Orleans Pelicans,Western Conference,14,21,61,.256,21-61,L7,14-27,7-34,2-8,109.8,119.3,-9.5
24,SA,San Antonio Spurs,Western Conference,13,34,48,.415,34-48,W1,20-20,13-27,3-7,113.9,116.7,-2.8
21,PHX,Phoenix Suns,Western Conference,11,36,46,.439,36-46,L1,24-17,12-29,1-9,113.6,116.6,-3.0
22,POR,Portland Trail Blazers,Western Conference,12,36,46,.439,36-46,W1,22-19,14-27,4-6,110.9,113.9,-3.0
